date,value
2021-01-01,400
2021-01-02,395
2021-01-03,390
2021-01-04,385
2021-01-05,380
2021-01-06,375
2021-01-07,370
2021-01-08,365
2021-01-09,360
2021-01-10,400
2021-01-11,395
2021-01-12,390
2021-01-13,385
2021-01-14,400
2021-01-15,395
2021-01-16,390
2021-01-17,385
2021-01-18,380
2021-01-19,375
2021-01-20,400
2021-01-21,395
2021-01-22,390
2021-01-23,385
2021-01-24,380
2021-01-25,375
2021-01-26,370
2021-01-27,365
2021-01-28,360
2021-01-29,355
2021-01-30,350
2021-01-31,345
2021-02-01,340
2021-02-02,335
2021-02-03,330
2021-02-04,325
2021-02-05,320
2021-02-06,400
2021-02-07,395
2021-02-08,390
2021-02-09,385
2021-02-10,380
2021-02-11,375
2021-02-12,370
2021-02-13,400
2021-02-14,395
2021-02-15,390
2021-02-16,385
2021-02-17,380
2021-02-18,375
2021-02-19,370
2021-02-20,365
2021-02-21,360
2021-02-22,355
2021-02-23,350
2021-02-24,345
2021-02-25,340
2021-02-26,335
2021-02-27,400
2021-02-28,395
2021-03-01,390
2021-03-02,385
2021-03-03,380
2021-03-04,375
2021-03-05,370
2021-03-06,400
2021-03-07,395
2021-03-08,390
2021-03-09,385
2021-03-10,380
2021-03-11,375
2021-03-12,370
2021-03-13,365
2021-03-14,360
2021-03-15,355
2021-03-16,350
2021-03-17,345
2021-03-18,340
2021-03-19,335
2021-03-20,330
2021-03-21,325
2021-03-22,320
2021-03-23,315
2021-03-24,310
2021-03-25,305
2021-03-26,300
2021-03-27,295
2021-03-28,290
2021-03-29,285
2021-03-30,280
2021-03-31,275
2021-04-01,270
2021-04-02,265
2021-04-03,260
2021-04-04,255
2021-04-05,250
2021-04-06,245
2021-04-07,240
2021-04-08,235
2021-04-09,230
2021-04-10,225
